Menu Item ID,Menu Category,Menu Sub-Category,Menu Item Name,Ingredient Type,Ingredient ID,Ingredient Name,Quantity,Unit
1,Non-Veg Appetizers,Chicken Snacks,Achari Murg Tikka,Fresh,N/A,Chicken Boneless,0.25,KG
1,Non-Veg Appetizers,Chicken Snacks,Achari Murg Tikka,Inventory,89,Oil Refined Sunflower,0.02,LTR
1,Non-Veg Appetizers,Chicken Snacks,Achari Murg Tikka,Inventory,127,Salt - Table Salt,0.005,KG
1,Non-Veg Appetizers,Chicken Snacks,Achari Murg Tikka,Inventory,109,Powder - Chilly,0.005,KG
1,Non-Veg Appetizers,Chicken Snacks,Achari Murg Tikka,Inventory,1,Turmeric Powder,0.002,KG
1,Non-Veg Appetizers,Chicken Snacks,Achari Murg Tikka,Inventory,214,Curd Pot 5 Ltr,0.05,NO
1,Non-Veg Appetizers,Chicken Snacks,Achari Murg Tikka,Inventory,131,Sauce Hot Garlic,0.01,BOT
2,Non-Veg Appetizers,Chicken Snacks,Amritsari Chicken,Fresh,N/A,Chicken Boneless,0.25,KG
2,Non-Veg Appetizers,Chicken Snacks,Amritsari Chicken,Inventory,89,Oil Refined Sunflower,0.02,LTR
2,Non-Veg Appetizers,Chicken Snacks,Amritsari Chicken,Inventory,127,Salt - Table Salt,0.005,KG
2,Non-Veg Appetizers,Chicken Snacks,Amritsari Chicken,Inventory,109,Powder - Chilly,0.005,KG
2,Non-Veg Appetizers,Chicken Snacks,Amritsari Chicken,Inventory,1,Turmeric Powder,0.002,KG
2,Non-Veg Appetizers,Chicken Snacks,Amritsari Chicken,Inventory,214,Curd Pot 5 Ltr,0.05,NO
2,Non-Veg Appetizers,Chicken Snacks,Amritsari Chicken,Inventory,131,Sauce Hot Garlic,0.01,BOT
3,Non-Veg Appetizers,Chicken Snacks,Bar-Be-Que Chicken,Fresh,N/A,Chicken Boneless,0.25,KG
3,Non-Veg Appetizers,Chicken Snacks,Bar-Be-Que Chicken,Inventory,89,Oil Refined Sunflower,0.02,LTR
3,Non-Veg Appetizers,Chicken Snacks,Bar-Be-Que Chicken,Inventory,127,Salt - Table Salt,0.005,KG
3,Non-Veg Appetizers,Chicken Snacks,Bar-Be-Que Chicken,Inventory,109,Powder - Chilly,0.005,KG
3,Non-Veg Appetizers,Chicken Snacks,Bar-Be-Que Chicken,Inventory,1,Turmeric Powder,0.002,KG
3,Non-Veg Appetizers,Chicken Snacks,Bar-Be-Que Chicken,Inventory,214,Curd Pot 5 Ltr,0.05,NO
3,Non-Veg Appetizers,Chicken Snacks,Bar-Be-Que Chicken,Inventory,131,Sauce Hot Garlic,0.01,BOT
4,Non-Veg Appetizers,Chicken Snacks,Chicken 65,Fresh,N/A,Chicken Boneless,0.25,KG
4,Non-Veg Appetizers,Chicken Snacks,Chicken 65,Inventory,89,Oil Refined Sunflower,0.02,LTR
4,Non-Veg Appetizers,Chicken Snacks,Chicken 65,Inventory,127,Salt - Table Salt,0.005,KG
4,Non-Veg Appetizers,Chicken Snacks,Chicken 65,Inventory,109,Powder - Chilly,0.005,KG
4,Non-Veg Appetizers,Chicken Snacks,Chicken 65,Inventory,1,Turmeric Powder,0.002,KG
4,Non-Veg Appetizers,Chicken Snacks,Chicken 65,Inventory,214,Curd Pot 5 Ltr,0.05,NO
4,Non-Veg Appetizers,Chicken Snacks,Chicken 65,Inventory,131,Sauce Hot Garlic,0.01,BOT
5,Non-Veg Appetizers,Chicken Snacks,Chicken Afghani,Fresh,N/A,Chicken Boneless,0.25,KG
5,Non-Veg Appetizers,Chicken Snacks,Chicken Afghani,Inventory,89,Oil Refined Sunflower,0.02,LTR
5,Non-Veg Appetizers,Chicken Snacks,Chicken Afghani,Inventory,127,Salt - Table Salt,0.005,KG
5,Non-Veg Appetizers,Chicken Snacks,Chicken Afghani,Inventory,109,Powder - Chilly,0.005,KG
5,Non-Veg Appetizers,Chicken Snacks,Chicken Afghani,Inventory,1,Turmeric Powder,0.002,KG
5,Non-Veg Appetizers,Chicken Snacks,Chicken Afghani,Inventory,214,Curd Pot 5 Ltr,0.05,NO
5,Non-Veg Appetizers,Chicken Snacks,Chicken Afghani,Inventory,131,Sauce Hot Garlic,0.01,BOT
6,Non-Veg Appetizers,Chicken Snacks,Chicken Drumsticks,Fresh,N/A,Chicken Boneless,0.25,KG
6,Non-Veg Appetizers,Chicken Snacks,Chicken Drumsticks,Inventory,89,Oil Refined Sunflower,0.02,LTR
6,Non-Veg Appetizers,Chicken Snacks,Chicken Drumsticks,Inventory,127,Salt - Table Salt,0.005,KG
6,Non-Veg Appetizers,Chicken Snacks,Chicken Drumsticks,Inventory,109,Powder - Chilly,0.005,KG
6,Non-Veg Appetizers,Chicken Snacks,Chicken Drumsticks,Inventory,1,Turmeric Powder,0.002,KG
6,Non-Veg Appetizers,Chicken Snacks,Chicken Drumsticks,Inventory,214,Curd Pot 5 Ltr,0.05,NO
6,Non-Veg Appetizers,Chicken Snacks,Chicken Drumsticks,Inventory,131,Sauce Hot Garlic,0.01,BOT
7,Non-Veg Appetizers,Chicken Snacks,Chicken Harialyali Tikka,Fresh,N/A,Chicken Boneless,0.25,KG
7,Non-Veg Appetizers,Chicken Snacks,Chicken Harialyali Tikka,Inventory,89,Oil Refined Sunflower,0.02,LTR
7,Non-Veg Appetizers,Chicken Snacks,Chicken Harialyali Tikka,Inventory,127,Salt - Table Salt,0.005,KG
7,Non-Veg Appetizers,Chicken Snacks,Chicken Harialyali Tikka,Inventory,109,Powder - Chilly,0.005,KG
7,Non-Veg Appetizers,Chicken Snacks,Chicken Harialyali Tikka,Inventory,1,Turmeric Powder,0.002,KG
7,Non-Veg Appetizers,Chicken Snacks,Chicken Harialyali Tikka,Inventory,214,Curd Pot 5 Ltr,0.05,NO
7,Non-Veg Appetizers,Chicken Snacks,Chicken Harialyali Tikka,Inventory,131,Sauce Hot Garlic,0.01,BOT
8,Non-Veg Appetizers,Chicken Snacks,Chicken Lollypops,Fresh,N/A,Chicken Boneless,0.25,KG
8,Non-Veg Appetizers,Chicken Snacks,Chicken Lollypops,Inventory,89,Oil Refined Sunflower,0.02,LTR
8,Non-Veg Appetizers,Chicken Snacks,Chicken Lollypops,Inventory,127,Salt - Table Salt,0.005,KG
8,Non-Veg Appetizers,Chicken Snacks,Chicken Lollypops,Inventory,109,Powder - Chilly,0.005,KG
8,Non-Veg Appetizers,Chicken Snacks,Chicken Lollypops,Inventory,1,Turmeric Powder,0.002,KG
8,Non-Veg Appetizers,Chicken Snacks,Chicken Lollypops,Inventory,214,Curd Pot 5 Ltr,0.05,NO
8,Non-Veg Appetizers,Chicken Snacks,Chicken Lollypops,Inventory,131,Sauce Hot Garlic,0.01,BOT
9,Non-Veg Appetizers,Chicken Snacks,Chicken Majestic,Fresh,N/A,Chicken Boneless,0.25,KG
9,Non-Veg Appetizers,Chicken Snacks,Chicken Majestic,Inventory,89,Oil Refined Sunflower,0.02,LTR
9,Non-Veg Appetizers,Chicken Snacks,Chicken Majestic,Inventory,127,Salt - Table Salt,0.005,KG
9,Non-Veg Appetizers,Chicken Snacks,Chicken Majestic,Inventory,109,Powder - Chilly,0.005,KG
9,Non-Veg Appetizers,Chicken Snacks,Chicken Majestic,Inventory,1,Turmeric Powder,0.002,KG
9,Non-Veg Appetizers,Chicken Snacks,Chicken Majestic,Inventory,214,Curd Pot 5 Ltr,0.05,NO
9,Non-Veg Appetizers,Chicken Snacks,Chicken Majestic,Inventory,131,Sauce Hot Garlic,0.01,BOT
10,Non-Veg Appetizers,Chicken Snacks,Chicken Malai Tikka,Fresh,N/A,Chicken Boneless,0.25,KG
10,Non-Veg Appetizers,Chicken Snacks,Chicken Malai Tikka,Inventory,89,Oil Refined Sunflower,0.02,LTR
10,Non-Veg Appetizers,Chicken Snacks,Chicken Malai Tikka,Inventory,127,Salt - Table Salt,0.005,KG
10,Non-Veg Appetizers,Chicken Snacks,Chicken Malai Tikka,Inventory,109,Powder - Chilly,0.005,KG
10,Non-Veg Appetizers,Chicken Snacks,Chicken Malai Tikka,Inventory,1,Turmeric Powder,0.002,KG
10,Non-Veg Appetizers,Chicken Snacks,Chicken Malai Tikka,Inventory,214,Curd Pot 5 Ltr,0.05,NO
10,Non-Veg Appetizers,Chicken Snacks,Chicken Malai Tikka,Inventory,131,Sauce Hot Garlic,0.01,BOT
11,Non-Veg Appetizers,Chicken Snacks,Chicken Manchurian,Fresh,N/A,Chicken Boneless,0.25,KG
11,Non-Veg Appetizers,Chicken Snacks,Chicken Manchurian,Inventory,89,Oil Refined Sunflower,0.02,LTR
11,Non-Veg Appetizers,Chicken Snacks,Chicken Manchurian,Inventory,127,Salt - Table Salt,0.005,KG
11,Non-Veg Appetizers,Chicken Snacks,Chicken Manchurian,Inventory,109,Powder - Chilly,0.005,KG
11,Non-Veg Appetizers,Chicken Snacks,Chicken Manchurian,Inventory,1,Turmeric Powder,0.002,KG
11,Non-Veg Appetizers,Chicken Snacks,Chicken Manchurian,Inventory,214,Curd Pot 5 Ltr,0.05,NO
11,Non-Veg Appetizers,Chicken Snacks,Chicken Manchurian,Inventory,131,Sauce Hot Garlic,0.01,BOT
12,Non-Veg Appetizers,Chicken Snacks,Chicken Mogali,Fresh,N/A,Chicken Boneless,0.25,KG
12,Non-Veg Appetizers,Chicken Snacks,Chicken Mogali,Inventory,89,Oil Refined Sunflower,0.02,LTR
12,Non-Veg Appetizers,Chicken Snacks,Chicken Mogali,Inventory,127,Salt - Table Salt,0.005,KG
12,Non-Veg Appetizers,Chicken Snacks,Chicken Mogali,Inventory,109,Powder - Chilly,0.005,KG
12,Non-Veg Appetizers,Chicken Snacks,Chicken Mogali,Inventory,1,Turmeric Powder,0.002,KG
12,Non-Veg Appetizers,Chicken Snacks,Chicken Mogali,Inventory,214,Curd Pot 5 Ltr,0.05,NO
12,Non-Veg Appetizers,Chicken Snacks,Chicken Mogali,Inventory,131,Sauce Hot Garlic,0.01,BOT
13,Non-Veg Appetizers,Chicken Snacks,Chicken Pakodi,Fresh,N/A,Chicken Boneless,0.25,KG
13,Non-Veg Appetizers,Chicken Snacks,Chicken Pakodi,Inventory,89,Oil Refined Sunflower,0.02,LTR
13,Non-Veg Appetizers,Chicken Snacks,Chicken Pakodi,Inventory,127,Salt - Table Salt,0.005,KG
13,Non-Veg Appetizers,Chicken Snacks,Chicken Pakodi,Inventory,109,Powder - Chilly,0.005,KG
13,Non-Veg Appetizers,Chicken Snacks,Chicken Pakodi,Inventory,1,Turmeric Powder,0.002,KG
13,Non-Veg Appetizers,Chicken Snacks,Chicken Pakodi,Inventory,214,Curd Pot 5 Ltr,0.05,NO
13,Non-Veg Appetizers,Chicken Snacks,Chicken Pakodi,Inventory,131,Sauce Hot Garlic,0.01,BOT
14,Non-Veg Appetizers,Chicken Snacks,Chicken Sauté,Fresh,N/A,Chicken Boneless,0.25,KG
